nota_finala_romana,nota_finala_limba_materna,nota_finala_matematica,media
1.00,,1.00,1.00
1.00,1.60,2.50,1.70
1.00,2.20,6.00,3.06
1.05,,2.50,1.77
1.30,3.85,3.50,2.88
1.40,3.40,4.50,3.10
1.40,4.20,5.00,3.53
1.50,3.45,3.50,2.81
1.55,3.30,3.00,2.61
1.60,1.80,3.50,2.30
1.60,3.25,3.00,2.61
1.60,6.20,4.00,3.93
1.70,,1.50,1.60
1.70,3.10,2.00,2.26
1.70,4.05,2.50,2.75
1.70,7.85,4.00,4.51
1.75,,4.00,2.87
1.80,2.25,1.50,1.85
1.80,3.45,4.00,3.08
1.80,6.35,3.50,3.88
1.85,6.00,4.00,3.95
1.90,2.80,2.00,2.23
1.95,4.60,3.00,3.18
10.00,,7.85,8.92
10.00,9.25,9.10,9.45
10.00,9.85,9.30,9.71
2.00,,1.50,1.75
2.00,6.25,5.50,4.58
2.05,,4.50,3.27
2.05,5.60,5.50,4.38
2.05,8.10,2.00,4.05
2.10,6.05,4.50,4.21
2.15,4.50,5.00,3.88
2.15,7.35,4.60,4.70
2.20,4.35,1.05,2.53
2.25,,6.50,4.37
2.25,4.90,4.00,3.71
2.30,2.50,1.50,2.10
2.30,5.10,4.05,3.81
2.35,,3.55,2.95
2.35,5.95,6.50,4.93
2.40,2.60,4.00,3.00
2.40,6.85,4.00,4.41
2.45,,6.50,4.47
2.45,7.60,6.35,5.46
2.45,7.75,4.65,4.95
2.50,6.90,2.50,3.96
2.55,6.85,4.05,4.48
2.60,6.65,3.50,4.25
2.60,7.05,5.40,5.01
2.65,,4.50,3.57
2.65,6.85,4.50,4.66
2.70,,2.00,2.35
2.70,5.85,6.10,4.88
2.75,6.30,5.50,4.85
2.75,7.05,5.00,4.93
2.80,,3.55,3.17
2.80,8.10,3.00,4.63
2.85,7.15,2.00,4.00
2.90,,5.55,4.22
2.90,5.00,4.00,3.96
2.90,9.30,4.50,5.56
2.95,,2.05,2.50
2.95,7.40,4.65,5.00
3.00,4.20,2.00,3.06
3.05,,4.00,3.52
3.05,7.10,4.60,4.91
3.05,8.45,3.50,5.00
3.10,6.55,6.20,5.28
3.15,,5.00,4.07
3.15,7.00,5.40,5.18
3.15,7.65,5.40,5.40
3.20,,4.10,3.65
3.20,6.55,4.00,4.58
3.25,,6.10,4.67
3.25,6.40,4.10,4.58
3.25,8.55,5.60,5.80
3.30,7.25,6.15,5.56
3.35,,6.50,4.92
3.40,,7.00,5.20
3.40,6.35,4.85,4.86
3.40,6.75,2.60,4.25
3.45,,6.00,4.72
3.45,6.65,5.00,5.03
3.50,6.80,4.60,4.96
3.55,,5.70,4.62
3.55,6.25,6.10,5.30
3.55,8.15,6.40,6.03
3.60,,6.50,5.05
3.60,8.40,7.00,6.33
3.65,,4.50,4.07
3.65,6.20,3.20,4.35
3.65,8.75,4.20,5.53
3.75,,3.60,3.67
3.75,3.85,1.50,3.03
3.75,6.75,4.05,4.85
3.80,,3.60,3.70
3.80,6.10,4.00,4.63
3.85,,2.00,2.92
3.85,6.35,4.00,4.73
3.85,7.90,5.20,5.65
3.90,,4.55,4.22
3.90,4.35,6.05,4.76
3.95,,5.05,4.50
3.95,,7.00,5.47
3.95,5.85,5.00,4.93
3.95,8.55,4.15,5.55
3.95,9.00,5.10,6.01
4.05,,4.50,4.27
4.05,6.80,4.80,5.21
4.05,7.40,4.00,5.15
4.10,,3.10,3.60
4.10,,4.95,4.52
4.10,5.20,5.15,4.81
4.10,9.10,5.65,6.28
4.15,,5.20,4.67
4.15,8.15,7.20,6.50
4.20,,5.50,4.85
4.20,,7.25,5.72
4.20,6.15,2.50,4.28
4.25,,7.00,5.62
4.25,5.45,4.00,4.56
4.30,5.30,3.50,4.36
4.30,5.40,5.00,4.90
4.35,,3.70,4.02
4.35,,4.05,4.20
4.35,6.35,4.50,5.06
4.40,,4.55,4.47
4.40,6.70,7.00,6.03
4.40,8.10,4.30,5.60
4.45,,4.10,4.27
4.45,6.90,3.60,4.98
4.50,,2.50,3.50
4.50,,4.95,4.72
4.50,8.35,4.60,5.81
4.55,,4.50,4.52
4.55,3.75,4.00,4.10
4.55,8.05,4.55,5.71
4.60,,1.50,3.05
4.60,,4.65,4.62
4.60,8.05,3.50,5.38
4.65,,4.20,4.42
4.65,,5.45,5.05
4.65,8.25,6.30,6.40
4.65,8.55,5.65,6.28
4.70,,4.05,4.37
4.70,7.55,7.05,6.43
4.75,,4.20,4.47
4.75,,4.75,4.75
4.75,7.75,4.50,5.66
4.75,8.30,4.35,5.80
4.80,,3.15,3.97
4.80,,7.05,5.92
4.80,8.30,7.40,6.83
4.85,,3.55,4.20
4.85,,6.10,5.47
4.85,7.75,7.70,6.76
4.85,8.25,5.20,6.10
4.90,,6.05,5.47
4.90,,7.10,6.00
4.90,7.40,7.10,6.46
4.95,,5.00,4.97
4.95,8.45,5.90,6.43
5.00,,4.65,4.82
5.00,,5.60,5.30
5.00,6.65,3.50,5.05
5.00,8.00,6.15,6.38
5.05,,3.60,4.32
5.05,,6.80,5.92
5.05,7.65,3.10,5.26
5.05,9.10,7.15,7.10
5.05,9.25,6.50,6.93
5.10,,3.80,4.45
5.10,,5.85,5.47
5.10,8.50,7.80,7.13
5.15,,4.80,4.97
5.15,,6.05,5.60
5.15,7.85,7.05,6.68
5.15,8.00,6.05,6.40
5.20,,4.05,4.62
5.20,,7.45,6.32
5.20,7.70,6.85,6.58
5.25,,2.05,3.65
5.25,,5.30,5.27
5.25,1.40,4.00,3.55
5.25,7.65,5.75,6.21
5.30,,3.95,4.62
5.30,,4.80,5.05
5.30,7.35,3.80,5.48
5.35,,2.10,3.72
5.35,,5.70,5.52
5.35,,6.25,5.80
5.35,5.40,4.50,5.08
5.35,7.90,6.85,6.70
5.40,,4.45,4.92
5.40,,7.50,6.45
5.40,8.15,7.10,6.88
5.45,,2.00,3.72
5.45,,6.10,5.77
5.45,7.35,4.85,5.88
5.45,8.45,5.30,6.40
5.45,9.85,5.80,7.03
5.50,,3.90,4.70
5.50,,4.35,4.92
5.55,,3.00,4.27
5.55,,5.25,5.40
5.55,,6.30,5.92
5.55,4.25,5.30,5.03
5.55,8.50,5.15,6.40
5.55,9.90,8.00,7.81
5.60,,4.75,5.17
5.60,,7.00,6.30
5.60,8.65,4.15,6.13
5.65,,1.50,3.57
5.65,,5.80,5.72
5.65,8.45,6.60,6.90
5.65,8.80,6.00,6.81
5.70,,3.60,4.65
5.70,,4.25,4.97
5.70,,7.65,6.67
5.70,8.50,5.10,6.43
5.75,,5.25,5.50
5.75,,5.50,5.62
5.75,7.55,6.90,6.73
5.75,8.60,6.80,7.05
5.80,,3.75,4.77
5.80,,6.30,6.05
5.80,,6.85,6.32
5.80,4.90,4.50,5.06
5.80,8.85,5.85,6.83
5.85,,4.40,5.12
5.85,,7.40,6.62
5.85,,7.75,6.80
5.85,7.20,5.70,6.25
5.85,8.45,4.85,6.38
5.90,,5.15,5.52
5.90,8.25,5.60,6.58
5.95,,2.05,4.00
5.95,,2.10,4.02
5.95,,5.80,5.87
5.95,7.55,4.15,5.88
5.95,7.80,7.25,7.00
6.00,,3.40,4.70
6.00,,3.85,4.92
6.00,,6.95,6.47
6.00,6.05,3.50,5.18
6.00,8.90,7.30,7.40
6.00,9.20,6.90,7.36
6.05,,4.50,5.27
6.05,,4.85,5.45
6.05,,7.50,6.77
6.05,8.75,8.35,7.71
6.10,,5.30,5.70
6.10,,5.55,5.82
6.10,7.60,5.50,6.40
6.10,8.80,7.55,7.48
6.15,,2.60,4.37
6.15,,6.00,6.07
6.15,,6.15,6.15
6.15,8.25,6.65,7.01
6.20,,3.95,5.07
6.20,,6.95,6.57
6.20,,7.10,6.65
6.20,5.90,4.20,5.43
6.20,8.00,5.60,6.60
6.20,9.15,5.15,6.83
6.25,,4.40,5.32
6.25,,7.30,6.77
6.25,,7.85,7.05
6.25,8.35,7.85,7.48
6.30,,4.85,5.57
