media_v_viii,nota_finala_romana,nota_finala_matematica,media
5.35,1.70,1.50,1.60
5.84,1.00,1.00,1.00
5.94,2.85,5.50,4.17
6.00,1.20,2.00,1.60
6.06,2.80,3.00,2.90
6.10,1.90,3.50,2.70
6.13,1.70,1.50,1.60
6.16,2.20,2.00,2.10
6.18,4.05,5.00,4.52
6.20,2.00,4.00,3.00
6.22,2.00,4.00,3.00
6.24,2.40,3.00,2.70
6.26,2.05,3.00,2.52
6.28,1.85,3.50,2.67
6.29,2.75,2.00,2.37
6.30,2.95,4.50,3.72
6.32,2.55,3.50,3.02
6.33,3.10,3.50,3.30
6.35,1.60,2.50,2.05
6.36,2.10,1.50,1.80
6.38,1.30,3.00,2.15
6.39,2.60,2.00,2.30
6.40,3.55,3.00,3.27
6.42,1.90,2.00,1.95
6.43,2.60,2.50,2.55
6.44,2.60,3.50,3.05
6.45,2.85,4.60,3.72
6.46,2.40,4.00,3.20
6.47,2.25,3.50,2.87
6.48,1.75,3.50,2.62
6.49,1.75,1.50,1.62
6.50,1.80,3.50,2.65
6.51,1.60,2.00,1.80
6.51,3.25,6.50,4.87
6.52,2.45,2.50,2.47
6.53,2.15,4.50,3.32
6.53,4.50,4.00,4.25
6.54,3.10,2.50,2.80
6.55,2.30,2.00,2.15
6.56,1.90,2.50,2.20
6.56,4.45,4.00,4.22
6.57,3.00,2.50,2.75
6.58,2.15,3.00,2.57
6.58,3.80,7.00,5.40
6.59,2.50,2.50,2.50
6.60,2.15,3.00,2.57
6.60,4.05,4.00,4.02
6.61,2.15,5.50,3.82
6.61,3.40,3.00,3.20
6.62,2.00,2.50,2.25
6.62,3.55,5.50,4.52
6.63,2.40,5.05,3.72
6.63,5.15,3.00,4.07
6.64,2.75,2.00,2.37
6.64,6.25,3.00,4.62
6.65,2.85,4.20,3.52
6.66,1.80,2.00,1.90
6.66,3.45,3.00,3.22
6.67,2.25,4.50,3.37
6.67,3.45,3.00,3.22
6.68,2.60,1.50,2.05
6.68,4.15,3.05,3.60
6.69,2.45,4.50,3.47
6.69,3.95,3.00,3.47
6.70,2.70,1.50,2.10
6.70,4.35,6.00,5.17
6.71,2.30,4.00,3.15
6.71,3.60,6.50,5.05
6.72,2.20,3.50,2.85
6.72,3.25,7.10,5.17
6.73,2.05,2.50,2.27
6.73,3.70,5.00,4.35
6.74,2.00,4.00,3.00
6.74,2.95,1.50,2.22
6.75,1.70,3.50,2.60
6.75,3.05,4.00,3.52
6.75,4.90,4.55,4.72
6.76,2.70,2.50,2.60
6.76,3.60,4.00,3.80
6.77,1.70,2.50,2.10
6.77,2.90,3.00,2.95
6.77,4.30,5.50,4.90
6.78,2.35,2.00,2.17
6.78,3.30,4.35,3.82
6.79,1.90,4.50,3.20
6.79,3.30,2.00,2.65
6.80,2.00,2.00,2.00
6.80,2.85,5.00,3.92
6.80,4.05,3.00,3.52
6.81,2.50,2.50,2.50
6.81,3.95,4.90,4.42
6.82,2.35,3.50,2.92
6.82,3.60,6.05,4.82
6.83,1.70,2.05,1.87
6.83,3.25,3.50,3.37
6.83,5.95,4.55,5.25
6.84,2.70,4.50,3.60
6.84,4.05,3.00,3.52
6.85,2.50,4.00,3.25
6.85,3.45,3.00,3.22
6.85,4.75,5.05,4.90
6.86,2.85,3.00,2.92
6.86,4.05,2.50,3.27
6.87,2.25,3.00,2.62
6.87,3.10,5.55,4.32
6.87,5.20,3.65,4.42
6.88,2.35,3.50,2.92
6.88,3.30,3.50,3.40
6.88,5.35,2.50,3.92
6.89,2.60,3.50,3.05
6.89,3.65,1.50,2.57
6.90,1.90,3.00,2.45
6.90,3.00,3.50,3.25
6.90,4.75,4.00,4.37
6.91,2.40,4.05,3.22
6.91,3.05,3.50,3.27
6.91,4.45,3.00,3.72
6.92,2.35,6.50,4.42
6.92,3.50,5.50,4.50
6.92,4.75,4.50,4.62
6.93,2.60,3.00,2.80
6.93,3.60,4.00,3.80
6.93,5.05,5.05,5.05
6.94,2.30,2.00,2.15
6.94,2.80,4.50,3.65
6.94,3.90,4.50,4.20
6.94,6.55,4.00,5.27
6.95,2.80,5.00,3.90
6.95,4.10,5.70,4.90
6.96,1.70,3.50,2.60
6.96,3.00,3.00,3.00
6.96,4.10,5.00,4.55
6.97,1.90,2.50,2.20
6.97,2.85,3.00,2.92
6.97,3.45,2.00,2.72
6.97,4.90,4.10,4.50
6.98,2.60,3.00,2.80
6.98,3.65,4.50,4.07
6.98,5.25,4.00,4.62
6.99,2.60,3.50,3.05
6.99,3.15,5.50,4.32
6.99,4.10,3.50,3.80
7.00,1.75,1.50,1.62
7.00,2.85,2.50,2.67
7.00,3.70,6.00,4.85
7.00,4.65,5.00,4.82
7.01,2.40,3.00,2.70
7.01,3.20,2.50,2.85
7.01,4.40,4.50,4.45
7.02,1.55,1.50,1.52
7.02,3.00,4.00,3.50
7.02,3.95,3.05,3.50
7.02,6.10,5.50,5.80
7.03,2.55,4.00,3.27
7.03,3.25,3.00,3.12
7.03,4.35,5.00,4.67
7.04,1.90,3.00,2.45
7.04,3.05,3.00,3.02
7.04,4.05,3.00,3.52
7.04,5.55,4.00,4.77
7.05,2.80,3.00,2.90
7.05,3.70,5.00,4.35
7.05,5.20,6.90,6.05
7.06,2.35,5.00,3.67
7.06,3.20,3.00,3.10
7.06,4.10,6.00,5.05
7.06,6.20,5.00,5.60
7.07,2.80,2.55,2.67
7.07,3.80,4.00,3.90
7.07,4.85,4.50,4.67
7.08,2.40,3.50,2.95
7.08,3.30,2.00,2.65
7.08,4.15,3.60,3.87
7.09,1.70,2.00,1.85
7.09,2.80,4.00,3.40
7.09,3.75,3.60,3.67
7.09,4.85,5.50,5.17
7.10,2.40,2.00,2.20
7.10,3.40,1.50,2.45
7.10,4.35,6.00,5.17
7.11,1.60,3.00,2.30
7.11,2.80,3.50,3.15
7.11,3.75,3.00,3.37
7.11,5.00,5.00,5.00
7.12,2.50,2.00,2.25
7.12,3.15,3.00,3.07
7.12,3.80,5.60,4.70
7.12,4.75,3.50,4.12
7.13,2.20,4.00,3.10
7.13,3.05,3.50,3.27
7.13,3.85,6.00,4.92
7.13,5.10,5.00,5.05
7.14,2.65,2.50,2.57
7.14,3.40,2.50,2.95
7.14,4.45,4.50,4.47
7.14,6.90,3.00,4.95
7.15,2.90,5.10,4.00
7.15,3.75,1.50,2.62
7.15,4.90,4.80,4.85
7.16,1.70,3.00,2.35
7.16,2.65,3.50,3.07
7.16,3.25,3.05,3.15
7.16,3.80,6.85,5.32
7.16,4.80,5.00,4.90
7.17,2.05,2.50,2.27
7.17,2.90,5.50,4.20
7.17,3.65,3.05,3.35
7.17,4.50,3.00,3.75
7.17,6.55,3.50,5.02
7.18,2.70,4.00,3.35
7.18,3.40,4.65,4.02
7.18,4.20,4.00,4.10
7.18,5.45,3.50,4.47
7.19,2.75,3.50,3.12
7.19,3.65,3.50,3.57
7.19,4.55,4.00,4.27
7.19,5.50,4.00,4.75
7.20,2.60,2.50,2.55
7.20,3.35,1.50,2.42
7.20,4.05,3.00,3.52
7.20,4.70,4.00,4.35
7.21,2.10,1.00,1.55
7.21,3.05,6.50,4.77
7.21,3.75,2.50,3.12
7.21,4.45,5.00,4.72
7.21,5.45,4.50,4.97
7.22,2.45,4.00,3.22
7.22,3.15,3.50,3.32
7.22,3.75,2.00,2.87
7.22,4.45,4.05,4.25
7.22,5.05,5.10,5.07
7.23,1.75,2.50,2.12
7.23,2.85,4.00,3.42
7.23,3.50,5.50,4.50
7.23,4.55,3.50,4.02
7.23,6.45,5.00,5.72
7.24,2.90,6.00,4.45
7.24,3.85,5.55,4.70
7.24,4.50,4.20,4.35
7.24,6.10,3.55,4.82
7.25,2.65,2.50,2.57
7.25,3.30,3.00,3.15
7.25,4.20,4.00,4.10
7.25,5.10,3.70,4.40
7.26,1.80,3.50,2.65
7.26,2.95,5.60,4.27
7.26,3.55,2.50,3.02
7.26,4.45,3.00,3.72
7.26,5.60,7.05,6.32
7.27,2.60,3.00,2.80
7.27,3.35,4.00,3.67
