school_code,school_media,romana,matematica,media
3261100049,7.29,4.1,2,3.05
3261100049,7.48,7.6,3.5,5.55
3261100049,7.76,5.45,2.5,3.97
3261100049,7.8,4.85,5.65,5.25
3261100049,8.01,7.4,4.6,6
3261100049,8.04,5.9,3,4.45
3261100049,8.16,5.7,5.15,5.42
3261100049,8.55,6.85,4.5,5.67
3261100049,8.73,5.3,4.2,4.75
3261100049,8.74,7.65,5.1,6.37
3261100049,8.94,8.85,6.4,7.62
3261100049,8.97,7.35,5.6,6.47
3261100049,8.99,7.35,5.55,6.45
3261100049,9.03,7.2,4.25,5.72
3261100049,9.08,8.2,5.65,6.92
3261100049,9.11,7.55,7.65,7.6
3261100049,9.19,8.35,5.75,7.05
3261100049,9.49,8.45,5.9,7.17
3261100049,9.58,8.4,8.85,8.62
3261100049,9.88,8.1,7.25,7.67
3261100058,6.84,4.05,4.5,4.27
3261100058,7.41,5.35,4.5,4.92
3261100058,7.84,5.6,6.45,6.02
3261100058,8.07,6.05,6.65,6.35
3261100058,8.11,6.45,3.45,4.95
3261100058,8.24,7,4.4,5.7
3261100058,8.3,7.1,7.35,7.22
3261100058,8.46,8.25,6.2,7.22
3261100058,8.54,6.2,7.15,6.67
3261100058,8.59,7.35,7.5,7.42
3261100058,8.67,8.5,6.85,7.67
3261100058,8.69,7.8,7.65,7.72
3261100058,8.7,7.7,7.6,7.65
3261100058,8.7,7.9,7.2,7.55
3261100058,8.78,7.95,7.25,7.6
3261100058,8.82,7.9,5.75,6.82
3261100058,8.91,7.15,6.6,6.87
3261100058,8.93,7.3,6.25,6.77
3261100058,8.93,7.8,6.95,7.37
3261100058,8.95,8.1,7.85,7.97
3261100058,8.96,8.2,7.45,7.82
3261100058,9,8,6.2,7.1
3261100058,9.05,8.55,6.95,7.75
3261100058,9.1,7.8,5.2,6.5
3261100058,9.16,8.45,6.4,7.42
3261100058,9.18,7.75,9.2,8.47
3261100058,9.18,8.75,7.45,8.1
3261100058,9.23,7.5,6.8,7.15
3261100058,9.24,8.25,7.95,8.1
3261100058,9.28,8,5.15,6.57
3261100058,9.31,9.3,9,9.15
3261100058,9.31,9.45,7.55,8.5
3261100058,9.32,9.15,8.6,8.87
3261100058,9.4,9.2,8,8.6
3261100058,9.42,8,7.2,7.6
3261100058,9.46,8.9,9.05,8.97
3261100058,9.48,9.3,7.5,8.4
3261100058,9.48,9.6,8.5,9.05
3261100058,9.5,9.15,7.9,8.52
3261100058,9.52,9,8.3,8.65
3261100058,9.53,7.9,8.95,8.42
3261100058,9.53,8.4,9.05,8.72
3261100058,9.54,8.4,7.5,7.95
3261100058,9.55,9.45,8.5,8.97
3261100058,9.58,8.65,7.8,8.22
3261100058,9.59,8.75,8.1,8.42
3261100058,9.62,8.5,9.4,8.95
3261100058,9.63,8.85,6.95,7.9
3261100058,9.67,8.75,9.05,8.9
3261100058,9.67,9.3,8.95,9.12
3261100058,9.71,9.15,8.55,8.85
3261100058,9.73,9.55,9,9.27
3261100058,9.76,9.45,9.1,9.27
3261100058,9.79,9.05,9.4,9.22
3261100058,9.83,9.05,9.1,9.07
3261100058,9.88,9.35,9.55,9.45
3261100058,9.89,9.6,9.65,9.62
3261100058,9.9,9.65,9.5,9.57
3261100058,9.91,9.15,9,9.07
3261100058,9.95,9.55,9.55,9.55
3261100058,9.95,9.6,9.7,9.65
3261100058,9.96,9.4,8.6,9
3261100058,9.97,9.55,8.5,9.02
3261100117,8.23,6.85,6,6.42
3261100117,8.37,5.4,4.5,4.95
3261100117,8.51,9.05,7.9,8.47
3261100117,8.54,7.3,5.75,6.52
3261100117,8.55,6.25,5.5,5.87
3261100117,8.6,7.6,7.85,7.72
3261100117,8.71,7.5,6,6.75
3261100117,8.74,7.85,7.15,7.5
3261100117,8.76,8.8,7,7.9
3261100117,8.77,8.75,7.6,8.17
3261100117,8.82,6.9,6.5,6.7
3261100117,8.83,6.75,7.65,7.2
3261100117,8.83,6.95,5.05,6
3261100117,8.87,8.1,9,8.55
3261100117,8.88,7.65,5.25,6.45
3261100117,8.88,8.15,7.2,7.67
3261100117,8.89,8,7.25,7.62
3261100117,8.91,8.65,7.9,8.27
3261100117,8.92,7.1,6.9,7
3261100117,8.99,5.8,5.6,5.7
3261100117,8.99,8.5,6.3,7.4
3261100117,9,8.3,6.9,7.6
3261100117,9.03,8.6,5.4,7
3261100117,9.06,8.2,8.5,8.35
3261100117,9.07,7.65,7.15,7.4
3261100117,9.08,8.3,8.55,8.42
3261100117,9.1,8.65,6.95,7.8
3261100117,9.12,8.3,8.35,8.32
3261100117,9.12,8.85,6.6,7.72
3261100117,9.12,9.35,7.1,8.22
3261100117,9.17,6,5.7,5.85
3261100117,9.17,7.65,7.75,7.7
3261100117,9.19,7.15,8.15,7.65
3261100117,9.21,8.4,7.25,7.82
3261100117,9.26,7.35,7.7,7.52
3261100117,9.3,8.75,8.35,8.55
3261100117,9.32,9.25,9.15,9.2
3261100117,9.35,8.15,9,8.57
3261100117,9.37,8.7,9.4,9.05
3261100117,9.38,8.05,8,8.02
3261100117,9.42,9.15,9.3,9.22
3261100117,9.43,8.15,8.7,8.42
3261100117,9.44,7.95,7.85,7.9
3261100117,9.44,9.05,8.7,8.87
3261100117,9.44,9.1,8.9,9
